ID Cliente,Cliente,Idade,Telefone,Estado,DataCompra,Produto,Preço,Unidades,ValorCompra
37,Vitor Vieira,36,(67) 39679299,Mato Grosso do Sul,2024-12-18,Jogo para Console,109.9,3,329.7
38,Liz Andrade,24,(94) 86861446,Pará,2024-12-09,Acessórios e adereços,27.8,9,250.2
39,Benicio Barros,27,(64) 51226738,Goiás,2024-12-15,Luminária personalizada,250.1,3,750.3
40,Arthur da Luz,48,(35) 99971109,Minas Gerais,2024-12-02,Console Portátil,350.9,3,1052.7
41,Thales Souza,40,(44) 22106017,Paraná,2024-12-10,Action Figure,180.5,4,722.0
42,Leandro da Paz,29,(17) 28923912,São Paulo,2024-12-31,Estatueta,350.1,2,700.2
43,Valentina Montenegro,41,(42) 54884008,Santa Catarina,2024-12-31,Teclado,49.9,2,99.8
44,João Araújo,22,(35) 79917982,Minas Gerais,2024-12-11,Caneca Personalizada,29.9,5,149.5
45,Kevin Nogueira,43,(33) 18900786,Minas Gerais,2024-12-07,Fantasia,112.5,8,900.0
46,Mariana Pinto,46,(28) 99575928,Espírito Santo,2024-12-18,Poster,45.5,4,182.0
47,Mariah Borges,42,(73) 12239172,Bahia,2024-12-08,Adesivo de Parede,24.9,1,24.9
48,Davi Casa Grande,30,(88) 73504866,Ceará,2024-12-23,conjunto de dados RPG,30.5,3,91.5
49,Joaquim Cassiano,29,(16) 87409347,São Paulo,2024-12-05,Quadrinho,34.9,8,279.2
50,Henry Sá,18,(65) 31781639,Mato Grosso,2024-12-06,Teclado,49.9,2,99.8
51,Aurora Freitas,43,(16) 51370201,São Paulo,2024-12-29,Moletom,98.9,1,98.9
52,Júlia Cardoso,27,(52) 89815949,Goiás,2024-12-14,pijama,85.9,6,515.4
53,André Rocha,31,(68) 36056967,Acre,2024-12-22,Funko Pop,80.5,8,644.0
54,Ana Liz Monteiro,37,(77) 11621090,Bahia,2024-12-02,Copo Térmico,39.9,9,359.1
55,Apollo Farias,49,(83) 67241349,Paraíba,2024-12-21,Funko Pop,80.5,1,80.5
56,Pietro Martins,21,(44) 30382726,Paraná,2024-12-04,Peruca,39.9,6,239.4
57,Dom Casa Grande,25,(86) 53126919,Piauí,2024-12-07,Coleção de Figurinhas,91.9,2,183.8
58,Pedro Miguel Lopes,50,(77) 23854306,Bahia,2024-12-03,Coleção de Figurinhas,91.9,10,919.0
59,Nicolas da Rocha,38,(79) 86872421,Sergipe,2024-12-09,chaveiro,10.75,7,75.25
60,Rafaela Alves,46,(34) 31144539,Minas Gerais,2024-12-16,Console Portátil,350.9,2,701.8
61,Olivia Nunes,38,(64) 12862274,Goiás,2024-12-06,pijama,85.9,7,601.3
62,Heitor Dias,31,(37) 11762728,Minas Gerais,2024-12-26,Moletom,98.9,4,395.6
63,Asafe Pires,30,(35) 37885002,Minas Gerais,2024-12-18,chaveiro,10.75,2,21.5
64,Davi Miguel Cavalcanti,24,(38) 28969786,Minas Gerais,2024-12-26,Copo Térmico,39.9,5,199.5
65,Lucas Gabriel Machado,46,(47) 39898707,Santa Catarina,2024-12-27,Máscara,49.9,6,299.4
66,Isabella das Neves,19,(74) 48607030,Bahia,2024-12-07,Livro,59.9,7,419.3
67,Brayan Sousa,37,(52) 76921838,Goiás,2024-12-31,Jogo de Pratos e Talheres Temático,19.9,9,179.1
68,Juan Costa,35,(67) 59414669,Mato Grosso do Sul,2024-12-16,Console clássico,999.9,4,3999.6
69,Antony da Rosa,36,(61) 68413943,Distrito Federal,2024-12-30,Peruca,39.9,1,39.9
70,Théo da Rosa,21,(91) 19953605,Pará,2024-12-19,Jogo para Console,109.9,5,549.5
71,Felipe Campos,35,(75) 83382108,Bahia,2024-12-22,Quadrinho,34.9,2,69.8
72,Luiz Fernando Rezende,31,(44) 35189883,Paraná,2024-12-16,Quadrinho,34.9,3,104.7
73,Maitê Porto,36,(66) 99126507,Mato Grosso,2024-12-30,Caneca Personalizada,29.9,2,59.8
74,Diego Cardoso,46,(84) 68774665,Rio Grande do Norte,2024-12-16,Console clássico,999.9,3,2999.7
75,Sophie Castro,37,(62) 63936459,Goiás,2024-12-05,Livro,59.9,1,59.9
76,Alexandre Fernandes,34,(22) 79787803,Rio de Janeiro,2024-12-16,Jogo de Estratégia,98.7,2,197.4
77,Yasmin Brito,25,(69) 29275373,Acre,2024-12-17,Poster,45.5,7,318.5
78,Danilo Oliveira,20,(31) 55448612,Minas Gerais,2024-12-16,Acessório para Jogo,89.9,6,539.4
79,Nina Novaes,45,(67) 77590543,Mato Grosso do Sul,2024-12-07,Graphic Novel,49.9,9,449.1
80,Oliver Fogaça,24,(99) 20487859,Maranhão,2024-12-13,Jogos para PC,99.9,1,99.9
81,Daniel Cunha,23,(14) 90873266,São Paulo,2024-12-25,Console Portátil,350.9,9,3158.1
82,Valentim Mendonça,43,(16) 92798554,São Paulo,2024-12-08,Teclado,49.9,7,349.3
83,Sofia Cavalcante,30,(62) 83150209,Goiás,2024-12-04,Jogo de Estratégia,98.7,8,789.6
84,Eduardo Ferreira,24,(34) 39965937,Minas Gerais,2024-12-02,chaveiro,10.75,1,10.75
85,Maria Sophia Castro,25,(28) 19567178,Espírito Santo,2024-12-26,Peruca,39.9,9,359.1
86,Maria Julia Barros,23,(88) 14769946,Ceará,2024-12-02,Poster,45.5,3,136.5
87,Luiz Fernando Alves,20,(71) 77249234,Bahia,2024-12-16,conjunto de dados RPG,30.5,3,91.5
88,Marcos Vinicius Guerra,24,(61) 32284930,Distrito Federal,2024-12-17,Jogos para PC,99.9,4,399.6
89,Lorena Machado,40,(93) 76999513,Pará,2024-12-05,Estatueta,350.1,3,1050.3
90,João Pedro Melo,24,(85) 30907682,Ceará,2024-12-30,Console Portátil,350.9,3,1052.7
91,Enzo Gabriel da Rosa,23,(77) 69818122,Bahia,2024-12-26,Quadro Decorativo,39.6,9,356.4
92,Lucca Nogueira,47,(38) 70391642,Minas Gerais,2024-12-14,Jogo de Estratégia,98.7,1,98.7
93,Alexia Leão,30,(71) 27506743,Bahia,2024-12-01,Acessórios e adereços,27.8,2,55.6
94,Dom Barbosa,21,(15) 92833346,São Paulo,2024-12-30,Pendrive,34.9,5,174.5
95,Clarice da Costa,30,(52) 58465763,Goiás,2024-12-31,Jogos para PC,99.9,8,799.2
96,Rebeca Cunha,24,(22) 33790417,Rio de Janeiro,2024-12-28,Luminária personalizada,250.1,6,1500.6
97,Maria Cecília Mendes,21,(31) 67961765,Minas Gerais,2024-12-18,Teclado,49.9,6,299.4
98,Maria Júlia Pinto,48,(52) 65282201,Goiás,2024-12-26,Estatueta,350.1,5,1750.5
99,Luiz Henrique Siqueira,34,(27) 42544230,Espírito Santo,2024-12-22,Jogo de Festa,62.4,6,374.4
100,Arthur Gabriel Cirino,35,(92) 36747248,Amazonas,2024-12-17,Mouse,39.9,3,119.7
101,Heloisa Cavalcante,27,(62) 29984862,Goiás,2024-12-25,Coleção de Figurinhas,91.9,5,459.5
102,Sarah da Rocha,28,(37) 61154966,Minas Gerais,2024-12-03,Jogo de Cartas,29.5,5,147.5
103,Henry Gabriel Cavalcanti,31,(41) 89862153,Paraná,2024-12-10,pijama,85.9,1,85.9
104,Leandro Santos,31,(44) 92399587,Paraná,2024-12-12,Console Portátil,350.9,1,350.9
105,Ana Laura Costela,39,(52) 65143742,Goiás,2024-12-26,Console Portátil,350.9,1,350.9
106,Sara Brito,43,(47) 48899094,Santa Catarina,2024-12-10,Máscara,49.9,2,99.8
107,Carlos Eduardo Leão,42,(74) 88718303,Bahia,2024-12-03,Pendrive,34.9,6,209.4
108,Larissa Freitas,33,(32) 38290730,Minas Gerais,2024-12-29,Jogo de Estratégia,98.7,2,197.4
109,Laís Camargo,38,(51) 69452051,Mato Grosso,2024-12-04,Funko Pop,80.5,2,161.0
110,Paulo Fonseca,48,(47) 75048480,Santa Catarina,2024-12-17,Moletom,98.9,3,296.7
111,Stephany Gonçalves,18,(28) 17172890,Espírito Santo,2024-12-17,Adesivo de Parede,24.9,4,99.6
112,André Leão,18,(86) 89701241,Piauí,2024-12-25,Adesivo de Parede,24.9,2,49.8
113,João Vitor Peixoto,43,(31) 77248231,Minas Gerais,2024-12-21,Acessório para Jogo,89.9,3,269.7
114,Marcelo Costela,39,(43) 93528678,Paraná,2024-12-25,Graphic Novel,49.9,9,449.1
115,José Santos,50,(28) 51721499,Espírito Santo,2024-12-13,Poster,45.5,6,273.0
116,Sara Mendonça,22,(44) 29877459,Paraná,2024-12-04,Estatueta,350.1,3,1050.3
117,Lunna Silveira,29,(85) 67178563,Ceará,2024-12-28,Máscara,49.9,10,499.0
118,Joana Moura,41,(35) 22208712,Minas Gerais,2024-12-20,Funko Pop,80.5,7,563.5
119,Alícia Casa Grande,46,(67) 41733751,Mato Grosso do Sul,2024-12-24,Camisa Temática,44.9,6,269.4
120,Thiago da Luz,20,(51) 35337808,Mato Grosso,2024-12-25,Poster,45.5,4,182.0
121,Rafael Andrade,21,(44) 15439179,Paraná,2024-12-27,Peruca,39.9,2,79.8
122,Daniela Macedo,34,(14) 45680164,São Paulo,2024-12-27,Acessórios e adereços,27.8,9,250.2
123,Davi Miguel Aparecida,24,(81) 47769323,Pernambuco,2024-12-04,Luminária personalizada,250.1,6,1500.6
124,Nina Barbosa,39,(17) 15454466,São Paulo,2024-12-06,Quadrinho,34.9,8,279.2
125,Pietra da Rosa,39,(17) 41032363,São Paulo,2024-12-29,Jogo de Festa,62.4,7,436.8
126,Dante Cassiano,48,(18) 71377266,São Paulo,2024-12-27,Livro,59.9,5,299.5
127,Lavínia Melo,34,(49) 17883347,Santa Catarina,2024-12-08,Livro,59.9,4,239.6
128,Raul Leão,38,(67) 58424088,Mato Grosso do Sul,2024-12-26,Caneca Personalizada,29.9,10,299.0
129,João Borges,23,(51) 18342354,Mato Grosso,2024-12-20,Fantasia,112.5,8,900.0
130,Enrico Teixeira,33,(92) 81963717,Amazonas,2024-12-15,Máscara,49.9,2,99.8
131,Ana Julia Casa Grande,46,(15) 84436598,São Paulo,2024-12-29,Coleção de Figurinhas,91.9,9,827.1
132,Asafe Martins,24,(66) 91860939,Mato Grosso,2024-12-18,Jogo de Festa,62.4,5,312.0
133,José Pedro Martins,28,(64) 59390019,Goiás,2024-12-15,Console Portátil,350.9,10,3509.0
134,Lorena Caldeira,35,(66) 65143034,Mato Grosso,2024-12-08,Action Figure,180.5,1,180.5
135,Bárbara Dias,35,(27) 75352145,Espírito Santo,2024-12-08,Acessório para Jogo,89.9,6,539.4
136,Apollo Araújo,44,(94) 46426736,Pará,2024-12-16,Peruca,39.9,7,279.3
137,Pedro Lucas Moura,36,(82) 74066212,Alagoas,2024-12-17,Boné,39.9,10,399.0
138,Ian Rezende,36,(66) 28354135,Mato Grosso,2024-12-03,Jogo de Cartas,29.5,3,88.5
139,Ana Moreira,30,(21) 59268182,Rio de Janeiro,2024-12-27,Jogos para PC,99.9,6,599.4
140,Igor Souza,33,(86) 57709484,Piauí,2024-12-12,Luminária personalizada,250.1,7,1750.7
141,Ana Beatriz Ferreira,48,(77) 27523394,Bahia,2024-12-24,Livro,59.9,4,239.6
142,Luara Fogaça,33,(27) 21959007,Espírito Santo,2024-12-26,Estatueta,350.1,7,2450.7
143,José Pedro Carvalho,20,(32) 32075502,Minas Gerais,2024-12-16,Teclado,49.9,7,349.3
144,Igor Guerra,36,(85) 27381529,Ceará,2024-12-28,Action Figure,180.5,1,180.5
145,Giovanna Siqueira,48,(68) 98554519,Acre,2024-12-24,Quadrinho,34.9,8,279.2
146,Renan Pires,40,(75) 98863979,Bahia,2024-12-04,Jogo de Estratégia,98.7,4,394.8
147,Lucas Pires,43,(91) 68829042,Pará,2024-12-17,Boné,39.9,5,199.5
148,Henrique da Conceição,31,(31) 81978820,Minas Gerais,2024-12-18,Caneca Personalizada,29.9,2,59.8
149,Stella Andrade,22,(19) 25115207,São Paulo,2024-12-25,Jogo para Console,109.9,8,879.2
150,Vinicius Rocha,36,(22) 93762592,Rio de Janeiro,2024-12-28,Boné,39.9,9,359.1
151,Nicole Novaes,44,(38) 97143568,Minas Gerais,2024-12-27,Livro,59.9,6,359.4
152,Josué Abreu,23,(71) 21019466,Bahia,2024-12-18,Jogo de Cartas,29.5,2,59.0
153,Maria Clara da Mata,26,(44) 95853145,Paraná,2024-12-03,Boné,39.9,1,39.9
154,Brayan Freitas,50,(91) 30400673,Pará,2024-12-21,Jogo de Cartas,29.5,10,295.0
155,Hellena Teixeira,33,(53) 79222350,Distrito Federal,2024-12-27,Caneca Personalizada,29.9,7,209.3
156,Henrique Jesus,48,(87) 12866218,Pernambuco,2024-12-19,Moletom,98.9,10,989.0
157,Caleb Farias,32,(17) 73114559,São Paulo,2024-12-10,Jogo de Estratégia,98.7,4,394.8
158,Leonardo Monteiro,20,(69) 99277610,Acre,2024-12-01,Jogo de Estratégia,98.7,6,592.2
159,Maria Almeida,39,(41) 41948721,Paraná,2024-12-08,Pendrive,34.9,3,104.7
160,Théo Azevedo,47,(13) 89124696,São Paulo,2024-12-11,Fantasia,112.5,4,450.0
161,Gabriela da Mata,46,(92) 82471909,Amazonas,2024-12-11,Camisa Temática,44.9,4,179.6
162,Amanda Castro,24,(84) 77662926,Rio Grande do Norte,2024-12-12,Funko Pop,80.5,7,563.5
163,Maria Helena Pires,39,(47) 86889237,Santa Catarina,2024-12-12,Fantasia,112.5,3,337.5
164,Luiz Miguel Cassiano,36,(87) 58912883,Pernambuco,2024-12-16,Camisa Temática,44.9,9,404.1
165,Thomas Leão,42,(67) 59142761,Mato Grosso do Sul,2024-12-20,Camisa Temática,44.9,8,359.2
166,Milena Moraes,38,(16) 45728740,São Paulo,2024-12-23,Teclado,49.9,4,199.6
167,Arthur Miguel Peixoto,22,(63) 11529631,Tocantins,2024-12-07,Boné,39.9,6,239.4
168,Isabela da Cunha,38,(46) 83816538,Paraná,2024-12-13,Camisa Temática,44.9,2,89.8
169,Renan da Paz,29,(63) 60028966,Tocantins,2024-12-29,Moletom,98.9,3,296.7
170,Thales da Cruz,42,(83) 35636620,Paraíba,2024-12-04,Mouse,39.9,2,79.8
171,Isis Carvalho,20,(14) 27630870,São Paulo,2024-12-12,Funko Pop,80.5,1,80.5
172,Diogo Castro,22,(35) 55559924,Minas Gerais,2024-12-29,Jogo de Festa,62.4,7,436.8
173,Natália Moreira,41,(88) 42309891,Ceará,2024-12-12,chaveiro,10.75,5,53.75
174,Antônio Machado,27,(89) 91111519,Piauí,2024-12-07,Camisa Temática,44.9,7,314.3
175,Alana Vargas,21,(27) 30176236,Espírito Santo,2024-12-15,Fantasia,112.5,7,787.5
176,Raul Sampaio,37,(27) 57333481,Espírito Santo,2024-12-26,pijama,85.9,1,85.9
177,Igor Moreira,29,(67) 79028708,Mato Grosso do Sul,2024-12-24,Mangá,36.9,2,73.8
178,Manuella da Rocha,33,(97) 94287889,Amazonas,2024-12-26,Pendrive,34.9,9,314.1
179,Bianca Cavalcanti,45,(65) 73261264,Mato Grosso,2024-12-10,Mangá,36.9,6,221.4
180,Noah Cirino,19,(73) 81536925,Bahia,2024-12-21,Acessórios e adereços,27.8,6,166.8
181,Gustavo Henrique Porto,48,(53) 57240132,Distrito Federal,2024-12-29,Fantasia,112.5,1,112.5
182,Matheus Mendonça,30,(84) 95600573,Rio Grande do Norte,2024-12-01,Livro,59.9,3,179.7
183,Olivia Melo,20,(91) 39917861,Pará,2024-12-15,Mangá,36.9,1,36.9
184,Theodoro Cirino,33,(87) 65348891,Pernambuco,2024-12-14,Graphic Novel,49.9,5,249.5
185,Pedro Lucas Marques,47,(62) 85055985,Goiás,2024-12-25,Boné,39.9,7,279.3
186,Luiz Miguel Costa,27,(84) 73995925,Rio Grande do Norte,2024-12-29,Acessórios e adereços,27.8,6,166.8
187,Laís Moraes,23,(15) 92724774,São Paulo,2024-12-28,Copo Térmico,39.9,4,159.6
188,Eloah Sá,48,(47) 98445401,Santa Catarina,2024-12-24,Adesivo de Parede,24.9,8,199.2
189,Marcelo Monteiro,43,(47) 27792384,Santa Catarina,2024-12-27,Jogo de Festa,62.4,10,624.0
190,João Lucas Castro,28,(21) 63985773,Rio de Janeiro,2024-12-29,Luminária personalizada,250.1,9,2250.9
191,Daniela Rocha,35,(62) 45405956,Goiás,2024-12-02,Livro,59.9,3,179.7
192,Maria Alice Casa Grande,31,(67) 94165958,Mato Grosso do Sul,2024-12-28,Jogo de Pratos e Talheres Temático,19.9,9,179.1
193,Jade Sampaio,26,(21) 56478040,Rio de Janeiro,2024-12-27,Jogo para Console,109.9,8,879.2
194,Olivia Novaes,50,(37) 79058796,Minas Gerais,2024-12-03,Mangá,36.9,8,295.2
195,Letícia Fernandes,18,(44) 54626584,Paraná,2024-12-29,Adesivo de Parede,24.9,1,24.9
196,Vinicius Vargas,18,(21) 22961255,Rio de Janeiro,2024-12-23,Mouse,39.9,4,159.6
197,Maria Helena Carvalho,22,(62) 77911038,Goiás,2024-12-24,Coleção de Figurinhas,91.9,3,275.7
198,Bruno da Cruz,40,(69) 68785969,Acre,2024-12-16,Quadrinho,34.9,1,34.9
199,Mariana Gomes,46,(87) 29490910,Pernambuco,2024-12-30,Action Figure,180.5,8,1444.0
200,Gustavo Moreira,23,(22) 66718092,Rio de Janeiro,2024-12-22,Máscara,49.9,6,299.4
201,Alícia Sousa,43,(62) 47172177,Goiás,2024-12-17,Caneca Personalizada,29.9,8,239.2
202,Davi Lucca Novaes,21,(94) 56932662,Pará,2024-12-23,Adesivo de Parede,24.9,9,224.1
203,Ísis Pastor,25,(48) 62034843,Santa Catarina,2024-12-26,Peruca,39.9,4,159.6
204,Carolina Abreu,38,(91) 80587428,Pará,2024-12-13,Estatueta,350.1,6,2100.6
205,Marcos Vinicius Azevedo,30,(61) 85017857,Distrito Federal,2024-12-29,Funko Pop,80.5,7,563.5
206,Isis Souza,46,(52) 81544332,Goiás,2024-12-24,Jogo de Festa,62.4,1,62.4
207,Maria Luiza Cassiano,41,(62) 47025834,Goiás,2024-12-22,Caneca Personalizada,29.9,5,149.5
208,João Guilherme Vargas,33,(17) 40019938,São Paulo,2024-12-13,Moletom,98.9,6,593.4
209,Nicolas Rocha,45,(27) 92049963,Espírito Santo,2024-12-08,Action Figure,180.5,6,1083.0
210,Davi da Rosa,46,(15) 12217778,São Paulo,2024-12-11,Peruca,39.9,2,79.8
211,Isabella Macedo,20,(35) 27168456,Minas Gerais,2024-12-17,Fantasia,112.5,4,450.0
212,Jade Monteiro,28,(38) 15899291,Minas Gerais,2024-12-11,Jogos para PC,99.9,9,899.1
213,Kaique Marques,41,(61) 91501156,Distrito Federal,2024-12-11,Console Portátil,350.9,6,2105.4
214,Maria Liz Correia,25,(94) 17929119,Pará,2024-12-13,Mouse,39.9,8,319.2
215,Luiza da Costa,44,(89) 72637697,Piauí,2024-12-25,Máscara,49.9,9,449.1
216,Rodrigo Alves,24,(87) 13107654,Pernambuco,2024-12-08,Jogos para PC,99.9,3,299.7
217,Emilly Cirino,27,(44) 31967169,Paraná,2024-12-13,Peruca,39.9,8,319.2
218,João Vitor Brito,43,(32) 95952342,Minas Gerais,2024-12-22,pijama,85.9,5,429.5
219,Emanuella Ribeiro,43,(27) 80812653,Espírito Santo,2024-12-21,Coleção de Figurinhas,91.9,7,643.3
220,Bárbara Souza,34,(33) 75530449,Minas Gerais,2024-12-07,Boné,39.9,4,159.6
221,Noah Sales,29,(98) 41320916,Maranhão,2024-12-31,Mangá,36.9,2,73.8
222,Bárbara da Rosa,19,(65) 73711579,Mato Grosso,2024-12-28,Adesivo de Parede,24.9,7,174.3
223,Thomas Câmara,46,(49) 10342629,Santa Catarina,2024-12-24,Poster,45.5,7,318.5
224,Rodrigo Barros,38,(75) 21752673,Bahia,2024-12-17,Acessório para Jogo,89.9,8,719.2
225,Julia da Cruz,38,(89) 15051092,Piauí,2024-12-12,Boné,39.9,2,79.8
226,Maria Eduarda da Conceição,37,(53) 34908692,Distrito Federal,2024-12-29,Acessório para Jogo,89.9,6,539.4
227,Luiza Camargo,36,(64) 60895403,Goiás,2024-12-24,Adesivo de Parede,24.9,2,49.8
228,Ana Vitória Melo,18,(92) 59193821,Amazonas,2024-12-21,Boné,39.9,3,119.7
229,Giovanna Abreu,42,(45) 39685602,Paraná,2024-12-15,Adesivo de Parede,24.9,7,174.3
230,Murilo Araújo,48,(11) 70973677,São Paulo,2024-12-19,Máscara,49.9,9,449.1
231,Mariah Camargo,19,(34) 61684241,Minas Gerais,2024-12-14,Quadrinho,34.9,2,69.8
232,Maria Laura Duarte,22,(45) 55785009,Paraná,2024-12-05,Peruca,39.9,4,159.6
233,Maria Cecília Cardoso,26,(61) 71375873,Distrito Federal,2024-12-11,Jogo de Pratos e Talheres Temático,19.9,4,79.6
234,Esther Nogueira,40,(16) 63340819,São Paulo,2024-12-13,Peruca,39.9,6,239.4
235,Davi Lucas Aparecida,22,(41) 93208920,Paraná,2024-12-23,Jogo para Console,109.9,5,549.5
236,Rafael Brito,48,(88) 46940981,Ceará,2024-12-20,Copo Térmico,39.9,10,399.0
237,Dom da Rocha,48,(11) 64653338,São Paulo,2024-12-02,Jogo de Festa,62.4,9,561.6
238,Aurora Ferreira,32,(22) 19557660,Rio de Janeiro,2024-12-22,conjunto de dados RPG,30.5,2,61.0
239,Otto Silva,47,(85) 57679030,Ceará,2024-12-07,Quadrinho,34.9,2,69.8
240,Luiz Henrique Vasconcelos,25,(24) 78166172,Rio de Janeiro,2024-12-15,Quadrinho,34.9,1,34.9
241,Bento Moura,47,(44) 23513536,Paraná,2024-12-04,Quadrinho,34.9,1,34.9
242,Diego Duarte,34,(14) 54323820,São Paulo,2024-12-16,Console Portátil,350.9,9,3158.1
243,Bruno da Luz,36,(96) 46564485,Amapá,2024-12-07,conjunto de dados RPG,30.5,9,274.5
244,Matheus da Paz,32,(91) 40250139,Pará,2024-12-15,Adesivo de Parede,24.9,9,224.1
245,Léo Novais,48,(85) 60175308,Ceará,2024-12-03,Jogo de Cartas,29.5,8,236.0
246,Maya Nunes,38,(91) 77165461,Pará,2024-12-02,Graphic Novel,49.9,6,299.4
247,Bruno da Conceição,24,(52) 48246750,Goiás,2024-12-26,Jogo de Festa,62.4,5,312.0
248,Isaac Cirino,25,(91) 32134488,Pará,2024-12-03,Copo Térmico,39.9,8,319.2
249,Beatriz Fernandes,42,(38) 83285133,Minas Gerais,2024-12-09,Mouse,39.9,8,319.2
250,Yago Araújo,21,(94) 38118237,Pará,2024-12-08,Adesivo de Parede,24.9,10,249.0
251,Anthony Mendonça,41,(49) 99810502,Santa Catarina,2024-12-15,Caneca Personalizada,29.9,4,119.6
252,Sara Freitas,48,(91) 65051823,Pará,2024-12-05,Boné,39.9,4,159.6
253,Heloisa Mendonça,22,(17) 61860815,São Paulo,2024-12-30,Adesivo de Parede,24.9,9,224.1
254,Heloísa Viana,50,(86) 19742262,Piauí,2024-12-02,Teclado,49.9,10,499.0
255,Carolina Almeida,27,(41) 96049774,Paraná,2024-12-22,Funko Pop,80.5,6,483.0
256,Caroline da Cunha,37,(31) 31533173,Minas Gerais,2024-12-26,pijama,85.9,7,601.3
257,Mateus Cardoso,45,(14) 37414623,São Paulo,2024-12-31,Quadrinho,34.9,4,139.6
258,Cauê da Mota,43,(74) 28359023,Bahia,2024-12-25,Fantasia,112.5,4,450.0
259,Maria Fernanda Lopes,30,(61) 29944382,Distrito Federal,2024-12-06,Caneca Personalizada,29.9,3,89.7
260,Cecilia Ramos,34,(99) 90734475,Maranhão,2024-12-25,Poster,45.5,10,455.0
261,Gabrielly Nogueira,32,(16) 11423313,São Paulo,2024-12-31,Caneca Personalizada,29.9,4,119.6
262,Sophie da Costa,24,(67) 80579387,Mato Grosso do Sul,2024-12-27,Jogo para Console,109.9,7,769.3
263,Yuri Monteiro,47,(87) 14869761,Pernambuco,2024-12-09,Adesivo de Parede,24.9,9,224.1
